,author,title,url,description,date,content
0,Martin Rees,Martin Rees: Why challenge prizes can solve our most pressing issues,https://www.newscientist.com/article/2435384-martin-rees-why-challenge-prizes-can-solve-our-most-pressing-issues/,"As the winner of the Longitude Prize on Antimicrobial Resistance is announced, chair of the prize committee Martin Rees, the UK's Astronomer Royal, explains why it pays to reward ideas",2024-06-12T19:30:17Z,"As the winner of the Longitude prize on antimicrobial resistance is announced, chair of the prize committee Martin Rees, the UK's Astronomer Royal, explains why it pays to reward ideas By Martin Rees 
                                    12 June 2024
                                                                     Martin Rees at the 2017 Hay Festival of Literature in Hay on Wye, UKKeith Morris/Hay Ffotos/Alamy Martin Rees at the 2017 Hay Festival of Literature in Hay on Wye, UK Keith Morris/Hay Ffotos/Alamy The Oscars. The Booker prize. The Nobels. The award ceremonies that punctuate our year are all inherently backward-looking, celebrating past achievements. But there is another type of award, one that looks to the future – a challenge prize. Such prizes don’t recognise past successes, rather incentivise future ones. The idea is simple: a challenge is selected – with a clear-cut target – and a jackpot is offered to whoever first reaches that goal. Examples include the Longitude prize on antimicrobial resistance (AMR), which has… Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
1,Alex Wilkins,The largest volcanoes on Mars have frosted tips during winter,https://www.newscientist.com/article/2434940-the-largest-volcanoes-on-mars-have-frosted-tips-during-winter/,"We know that there is ice at the Martian poles and underground, but until now it wasn't clear it could exist on the surface of the Red Planet",2024-06-10T16:00:45Z,"We know that there is ice at the Martian poles and underground, but until now it wasn't clear it could exist on the surface of the Red Planet By Alex Wilkins 
                                    10 June 2024
                                                                     A view of frost on Olympus MonsESA/DLR/FU Berlin A view of frost on Olympus Mons ESA/DLR/FU Berlin As winter mornings dawn on Mars, the tips of its largest volcanoes become covered in frost, in yet another example of water on the Red Planet. We already know that Mars has significant deposits of ice in the form of polar ice caps, and possibly buried underneath the surface at the equator, but scientists had yet to observe surface water in other Martian regions.  Read moreWhat would happen if we pulled out Mars’s iron core with a magnet?  Read more What would happen if we pulled out Mars’s iron core with a magnet? Advertisement Now, Adomas Valantinas at Brown University in Rhode Island and his colleagues have spotted frost that appears to only form in the morning, during Martian winters, near the peaks of volcanoes in the Tharsis region, which includes some of the solar system’s largest volcanoes, such as Olympus Mons. “This is quite exciting because it tells you how dynamic Mars’s water system is, but also how water can be found in different amounts basically everywhere on Mars,” says Valantinas. He and his team took morning pictures of the icy volcanic peaks using a colour camera aboard the European Space Agency’s Trace Gas Orbiter, which studies the Martian atmosphere, and spotted wide regions of blue frost. They ruled out frozen carbon dioxide, which can look similar, as the cause by calculating the surface temperatures and finding it was too warm for CO2 to freeze. Though there is a possibility the ice is formed from gases coming out of the volcano, Valantinas and his team would it expect to see it all year round if this was the case. Instead, the fact that it only appears during the colder parts of the year, makes it more likely the frost is a result of water vapour in the atmosphere freezing out. Voyage across the galaxy and beyond with our space newsletter every month.  Read moreMars may have captured and split a comet to create its two moons  Read more Mars may have captured and split a comet to create its two moons Knowing where ice forms on the Martian surface, especially from atmospheric processes, is vital for accurate weather prediction, says Susan Conway at the University of Nantes, France. We know that ice from the poles moves into the atmosphere, but we don’t know where it goes, she says. “This is a really neat observation, because we can actually see where it’s going.” Journal reference:Nature Geoscience DOI: 10.1038/s41561-024-01457-7 Journal reference: Nature Geoscience DOI: 10.1038/s41561-024-01457-7 Topics: Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
2,Sophie Berdugo,Male lemurs grow bigger testicles when there are other males around,https://www.newscientist.com/article/2434477-male-lemurs-grow-bigger-testicles-when-there-are-other-males-around/,"Dominant male Verreaux’s sifakas always have the largest testicles in their group to make the most sperm, and they can grow their gonads to make sure of it",2024-06-07T12:00:25Z,"Dominant male Verreaux’s sifakas always have the largest testicles in their group to make the most sperm, and they can grow their gonads to make sure of it By Sophie Berdugo 
                                    7 June 2024
                                                                     A male Verreaux’s sifakaGabrielle Bueno A male Verreaux’s sifaka Gabrielle Bueno Dominant male lemurs flexibly grow their testicles when other males are around, putting them in a better position to successfully mate. In many species, dominant males have larger testes than subordinates, often because they have more testosterone. Studies have also shown that males in species that have lots of males living together have bigger testicles than in species where only one male lives in a group. Because larger testicles can make more sperm, this improves a male’s chances of fathering offspring if females mate with several males.  Read moreEvolution is evolving: 13 ways we must rethink the theory of nature  Read more Evolution is evolving: 13 ways we must rethink the theory of nature Advertisement Gabrielle Bueno and Rebecca Lewis from the University of Texas at Austin tested if this pattern holds true within a single population by looking at the testes size of 23 adult male Verreaux’s sifakas (Propithecus verreauxi) in Kirindy Mitea National Park in western Madagascar. This was done outside the mating season over a 13-year period. This population of lemurs is made up of several groups, with some having only one male and others having multiple males. Although females hold the most social power, as in all lemur societies, males also have their own hierarchy. Dominant ones have a brown, greasy stain on their chest due to constant scent marking, whereas subordinates have clean white torsos. The researchers found that stained males in multi-male groups have testicles that are, on average, 103 per cent larger than those of clean males within their group, and 31 per cent larger than those of stained males in single-male units. The stained lemurs in multi-male groups may be producing more testosterone than the other lemurs, or suppressing the amount of testosterone the clean males can produce, says Bueno. A monthly celebration of the biodiversity of our planet’s animals, plants and other organisms. Stained males in multi-male groups don’t just have more sizeable scrotums in absolute terms – they are also larger relative to their body size. Bueno says that this shows dominant males invest more energy in sperm competition when there are other males around. “Importantly, they are able to switch that,” says Bueno. The dominant male always has the biggest testicles, so if a clean male with larger testes enters the group, the stained male’s gonads grow. This “highlights how insanely flexible they are and how in tune they are with their social environment”, says Bueno. “The flexible adjustment of testes size of males living under different conditions across their lifespan is remarkable,” says Peter Kappeler at the University of Göttingen in Germany. This raises important questions about the potential costs of maintaining large testes, he adds. Growing larger testicles uses up energy that then can’t be spent elsewhere, and is likely to mean they have to find more food. Journal reference:International Journal of Primatology  DOI: 10.1007/s10764-024-00437-3 Journal reference: International Journal of Primatology  DOI: 10.1007/s10764-024-00437-3 Topics: Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
3,Alex Wilkins,Physicists want to drill a 5-kilometre-deep hole on the moon,https://www.newscientist.com/article/2434325-physicists-want-to-drill-a-5-kilometre-deep-hole-on-the-moon/,Going deep into lunar rock could give us an opportunity to see if protons can decay into something else – a finding that could help us unify conflicting physics theories,2024-06-07T14:00:30Z,"Going deep into lunar rock could give us an opportunity to see if protons can decay into something else – a finding that could help us unify conflicting physics theories By Alex Wilkins 
                                    7 June 2024
                                                                     Going below the surface of the moon could help us probe particle physicsMilan Rademakers/Shutterstock Going below the surface of the moon could help us probe particle physics Milan Rademakers/Shutterstock Drilling a 5-kilometre-deep hole in the moon could finally provide evidence that protons can fall apart, claim a group of physicists. If this previously unseen behaviour is spotted, it would help efforts to unify incompatible physics theories.  Read moreSupernova neutrinos could break physics – if we can make sense of them  Read more Supernova neutrinos could break physics – if we can make sense of them The standard model of particle physics, which is our best working picture of how the forces and particles that make up our universe interact, says that protons are stable, living forever. This model… Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
4,Paul Halpern,How to wrap your mind around the real multiverse,https://www.newscientist.com/article/2434625-how-to-wrap-your-mind-around-the-real-multiverse/,"Fictional portrayals of parallel universes are fun to explore, but the scientific view of the multiverse looks very different",2024-06-07T13:00:22Z,"Fictional portrayals of parallel universes are fun to explore, but the scientific view of the multiverse looks very different By Paul Halpern 
                                    7 June 2024
                                                                     Science fiction’s visions of multiple universes differ from the real theoryScience Photo Library / Alamy Science fiction’s visions of multiple universes differ from the real theory Science Photo Library / Alamy The following is an extract from our Lost in Space-Time newsletter. Each month, we hand over the keyboard to a physicist or mathematician to tell you about fascinating ideas from their corner of the universe. You can sign up for Lost in Space-Time for free here. Imagine passing through a mysterious portal and encountering a version of yourself as you would have wished to be. Instead of taking up that tedious job at the accountancy firm, you followed your dreams and became a rock… Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
5,Leah Crane,Starliner and Starship launches propel space industry into a new era,https://www.newscientist.com/article/2434771-starliner-and-starship-launches-propel-space-industry-into-a-new-era/,"SpaceX successfully launched its Starship rocket on the same day that Boeing’s Starliner craft made its first crewed flight, a sign that the space industry is hotting up",2024-06-07T17:57:38Z,"SpaceX successfully launched its Starship rocket the day after Boeing’s Starliner craft made its first crewed flight, a sign that the space industry is hotting up By Leah Crane 
                                    7 June 2024
                                                                     The SpaceX Starship (left) and the Boeing Starliner (right) launched on the same daySpaceX; Joe Marino/UPI/Shutterstock The SpaceX Starship (left) and the Boeing Starliner (right) launched on the same day SpaceX; Joe Marino/UPI/Shutterstock Space flight has entered a new era. Two rocket launches on 5 and 6 June demonstrated the capabilities of relatively new spacecraft, each representing a crucial step forward for human space exploration. Boeing’s Starliner capsule made its first crewed flight, and SpaceX’s huge Starship rocket made its fourth test flight, the first orbital flight it has fully executed without anything falling apart or exploding.  Read moreHow India has slowly but surely become a major player in space  Read more How India has slowly but surely become a major player in space “Nothing blew up,… Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
6,James Woodford,Australian pterosaur had a huge tongue to help gulp down prey,https://www.newscientist.com/article/2435229-australian-pterosaur-had-a-huge-tongue-to-help-gulp-down-prey/,"Scientists have identified a new species of pterosaur from a 100-million-year-old fossil in Australia, which appears to have had a massive tongue to push prey down its throat",2024-06-12T10:55:25Z,"Scientists have identified a new species of pterosaur from a 100-million-year-old fossil in Australia, which appears to have had a massive tongue to push prey down its throat By James Woodford 
                                    12 June 2024
                                                                     An illustration of the newly identified species, called Haliskia peterseniGabriel Ugueto An illustration of the newly identified species, called Haliskia peterseni Gabriel Ugueto A 100-million-year-old fossil pterosaur found in Australia may have had the largest and most muscular tongue of all its relatives. The fossil was found in 2021 by Kevin Petersen, the curator at Kronosaurus Korner, a museum near the outback town of Richmond in Queensland. Normally with pterosaurs – flying reptiles that inhabited Earth at the same time as dinosaurs – you might find one bone, says Petersen. “But as I started to dig around, more and more bone started to show and I realised I needed to go very carefully,” he says. Advertisement  Read moreLargest ever animal may have been Triassic ichthyosaur super-predator  Read more Largest ever animal may have been Triassic ichthyosaur super-predator Nearly a quarter of the skeleton has now been recovered, making it the most complete pterosaur ever found by scientists in Australia. The entire lower jaw was preserved, along with part of the upper jaw, vertebrae, ribs, and leg and feet bones. But most surprising was the preservation of the extremely delicate throat bones, just a few millimetres in diameter, which reminded Petersen of spaghetti. The latest science news delivered to your inbox, every day. A team led by Adele Pentland at Curtin University in Perth realised the fossil belonged to an entirely new genus and species in the Anhangueria family of pterosaurs, which are found globally. The creature is estimated to have had a wingspan of 4.6 metres. In honour of Petersen, it has been named Haliskia peterseni. Although unrelated to birds, it would have looked a bit like a giant pelican, says Petersen. But Pentland says it would have been a “demon pelican” because it had a mouth full of spiky teeth. What sets H. peterseni apart from any other known pterosaur is that its throat bones are much larger, indicating that it had a massive, muscular tongue, says Pentland. The team thinks the tongue was used to catch and hold prey, probably slippery animals such as squid and fish. Once prey was grabbed by its jaws, H. peterseni’s teeth would have closed like a zipper or cage, preventing escape, says Pentland.  Read moreA radical new theory rewrites the story of how life on Earth began  Read more A radical new theory rewrites the story of how life on Earth began Like a pelican, it probably swallowed its prey whole, she says. The tongue was also probably used to push the meal down into its throat. During the Cretaceous Period, when H. peterseni lived, what is now inland Queensland was covered by ocean, which was the pterosaur’s hunting ground. “It was really breathtaking to see the remains of this fossil animal and to imagine the abundance of life that must have been there at that time and how very different it would have been to what we see in outback Queensland today,” says Pentland. Journal reference:Scientific Reports DOI: 10.1038/s41598-024-60889-8 Journal reference: Scientific Reports DOI: 10.1038/s41598-024-60889-8 Topics: Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
7,Leah Crane,Einstein's theory was wrong about black holes made out of light,https://www.newscientist.com/article/2435613-einsteins-theory-was-wrong-about-black-holes-made-out-of-light/,"The theory of relativity predicts black holes should be able to form from light alone, but incorporating quantum effects makes it impossible",2024-06-14T20:18:19Z,"The theory of relativity predicts black holes should be able to form from light alone, but incorporating quantum effects makes it impossible By Leah Crane 
                                    14 June 2024
                                                                     Light cannot condense enough to create a black holeVadim Sadovski/Shutterstock Light cannot condense enough to create a black hole Vadim Sadovski/Shutterstock It seems it is not possible to form black holes out of light alone. If energy and mass are one and the same, as Albert Einstein’s theories posit, then it should be possible to create a region of light so dense it collapses into a black hole – but a closer look has demonstrated quantum effects prevent that from happening. The idea of a black hole formed by the collapse of light, called a kugelblitz, has been around for decades, with researchers considering everything from how to make them… Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
8,Chris Stokel-Walker,The word ‘bot’ is increasingly being used as an insult on social media,https://www.newscientist.com/article/2434742-the-word-bot-is-increasingly-being-used-as-an-insult-on-social-media/,"The meaning of the word ""bot"" on Twitter/X seems to have shifted over time, with people originally using it to flag automated accounts, but now employing it to insult people they disagree with",2024-06-10T10:00:53Z,"The meaning of the word ""bot"" on Twitter/X seems to have shifted over time, with people originally using it to flag automated accounts, but now employing it to insult people they disagree with By Chris Stokel-Walker 
                                    10 June 2024
                                                                     An analysis of millions of tweets reveals the changing meaning of the word “bot”Svet foto/Shutterstock An analysis of millions of tweets reveals the changing meaning of the word “bot” Svet foto/Shutterstock Calling someone a bot on social media once meant you suspected they were actually a piece of software, but now the use of the word is shifting to become an insult to someone you know is human, say researchers. Many efforts to detect social media bots use algorithms to try to identify patterns of behaviour that are more common in automated accounts controlled by computers, the traditional meaning of a bot, but their accuracy is questionable. “Most recent research really focuses on the detection of social bots, which is problematic in itself because we have this ground truth problem,” says Dennis Assenmacher at Leibniz Institute for Social Sciences in Cologne, Germany, meaning we don’t know if detections are accurate. Advertisement  Read morePoliticians can use social media ads to buy votes for €4 per person  Read more Politicians can use social media ads to buy votes for €4 per person To investigate, Assenmacher and his colleagues looked at how users perceive what is a bot or not. They did so by looking at how the word “bot” was used on Twitter between 2007 and December 2022 (the social network changed its name to X in 2023, following its purchase by Elon Musk), analysing the words that appeared next to it in more than 22 million English-language tweets. The team found that before 2017, the word was usually deployed alongside allegations of automated behaviour of the type that would traditionally fit the definition of a bot, such as “software”, “script” or “machine”. After that date, the use shifted. The latest science news delivered to your inbox, every day. “Now, the accusations have become more like an insult, dehumanising people, insulting them, and using this as a technique to deny their intelligence and deny their right to participate in a conversation,” says Assenmacher.  Read moreSocial media brings benefits as well as risks to young people  Read more Social media brings benefits as well as risks to young people While the cause of the shift is unclear, Assenmacher says it could be political in nature. The team looked at high-profile accounts followed by each Twitter user, such as those of politicians and journalists, to classify users as left or right-leaning. It turned out that left-leaning users were more likely to accuse others of being bots, and those who were accused were more likely to be right-leaning. “A potential explanation might be that media frequently reported about right-wing bot networks influencing major events like the [2016] US election,” says Assenmacher. “However, this is just speculation and would need confirmation.” Journal reference:Proceedings of the Eighteenth International AAAI Conference on Web and Social Media DOI: 10.1609/icwsm.v18i1.31301 Journal reference: Proceedings of the Eighteenth International AAAI Conference on Web and Social Media DOI: 10.1609/icwsm.v18i1.31301 Topics: Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
9,Michael Le Page,What is a heat dome and are they getting worse with climate change?,https://www.newscientist.com/article/2434744-what-is-a-heat-dome-and-are-they-getting-worse-with-climate-change/,"Mexico and the southern US have seen extreme temperatures due to a heat dome, a weather phenomenon that will become more intense with climate change",2024-06-07T17:02:32Z,"Mexico and the southern US have seen extreme temperatures due to a heat dome, a weather phenomenon that will become more intense with climate change By Michael Le Page 
                                    7 June 2024
                                                                     High temperatures hit Joshua Tree, California, on 5 June 2024Gina Ferazzi/Los Angeles Times via Getty Images High temperatures hit Joshua Tree, California, on 5 June 2024 Gina Ferazzi/Los Angeles Times via Getty Images Mexico has been experiencing a severe heatwave due to a massive heat dome that has been affecting the country for weeks. Now this system has extended northwards into the southern US, causing extreme temperatures across a large region. A heat dome is not a clearly defined scientific term, but it is used by many weather forecasters. The American Meteorological Society defines it as an “exceptionally hot air mass that develops when high pressure aloft prevents warm air below from rising”. High pressure results in clear skies because sinking air warms as it descends – clouds form under the opposite circumnstances, with water droplets condensing out as rising air cools. These high-pressure conditions mean lots of sunshine, which results in further warming and can dry out the soil, leading to less evaporation and a reduced chance of clouds and rain. These positive feedbacks can produce hotter and hotter conditions the longer the heat dome stays in one place. While heat domes cause heatwaves, there can be heatwaves without heat domes. Advertisement  Read moreThe uncomfortable reality of life on Earth after we breach 1.5°C  Read more The uncomfortable reality of life on Earth after we breach 1.5°C The jet streams are fast-flowing bands of wind in the upper atmosphere that usually help move weather systems along the planet’s surface. But sometimes big loops form in a jet stream, resulting in weather systems getting stuck in the loops. These blocking patterns, as they are known, can lead to extreme cold, extreme rain or, in the case of heat domes, extreme heat. During the 2021 heat dome, several North American cities broke temperature recordsJoshua Stevens/NASA Earth Observatory During the 2021 heat dome, several North American cities broke temperature records Joshua Stevens/NASA Earth Observatory Get a dose of climate optimism delivered straight to your inbox every month. They can last anywhere from days to weeks. For instance, an extreme heat dome over Canada and the northwest US in 2021 lasted nearly a month. During this event, the temperature reached nearly 50°C (122°F) in British Columbia, the highest ever recorded in Canada. Heatwaves in general are becoming more frequent because of climate change, but most studies don’t look specifically at heatwaves caused by heat domes. There is a lot of debate about how warming will affect the blocking patterns that trap heat domes in place. A 2023 study concluded there will be an increase in “summer heat-dome-like stationary waves” over northwestern North America. Yes, this is certain. Because the world is now nearly 1.5°C warmer than in preindustrial times, when heat domes form today surface temperatures can get hotter than they previously would have. For instance, one study concluded the extreme temperatures recorded during the 2021 heat dome in Canada were “virtually impossible without human-caused climate change”. There is also some evidence that the intensity of heat domes is outpacing the warming trend, suggesting climate change is amplifying their intensity. “The intensities of hot extremes associated with… heat dome-like atmospheric circulations increase faster than background global warming in both historical change and future projection”, states a 2023 study.  Lab-grown meat could be 25 times worse for the climate than beefAnalysis finds the carbon footprint of cultivated meat is likely to be higher than beef if current production methods are scaled up because they are still highly energy-intensive  Lab-grown meat could be 25 times worse for the climate than beef Analysis finds the carbon footprint of cultivated meat is likely to be higher than beef if current production methods are scaled up because they are still highly energy-intensive Topics: Advertisement Receive a weekly dose of discovery in your inbox! 
            We'll also keep you up to date with New Scientist 
            events and special offers."
