,author,title,url,description,date,content
0,The Canadian Press,"Body Shop, Red Lobster creditor protection cases show pitfalls in corporate dynamics",https://financialpost.com/news/retail-marketing/body-shop-red-lobster-creditor-protection-cases-show-pitfalls-in-corporate-dynamics,The Body Shop and Red Lobster are recent examples of how dynamics between foreign companies can hurt businesses in Canada. Read more.,2024-06-10T08:00:56Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/news/retail-marketing/body-shop-red-lobster-creditor-protection-cases-show-pitfalls-in-corporate-dynamics
1,Bloomberg News,"Bank of Canada has clear path to 3% interest rate, Fiera CEO says",https://financialpost.com/news/economy/fiera-ceo-says-bank-of-canada-has-clear-path-to-3-interest-rate,"“Conditions are right” for the Bank of Canada to cut interest rates to around 3% by the end of 2025, says the head of Fiera Capital. Read on",2024-06-13T19:38:38Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/news/economy/fiera-ceo-says-bank-of-canada-has-clear-path-to-3-interest-rate
2,Bloomberg News,"Canada needs 'laser-focused' productivity strategy, Dodge says",https://financialpost.com/news/economy/canada-needs-laser-focused-productivity-strategy-dodge-says,Former Bank of Canada governor David Dodge says the federal and provincial governments must be focused on growing the productivity. Read on.,2024-06-13T10:53:43Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/news/economy/canada-needs-laser-focused-productivity-strategy-dodge-says
3,Bloomberg News,Poilievre plans to review capital gains tax hike if elected,https://financialpost.com/personal-finance/taxes/poilievre-review-capital-gains-tax-hike-elected,Conservative Leader Pierre Poilievre is pledging to review the capital gains tax hike if elected prime minister. Find out more.,2024-06-13T19:23:18Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/personal-finance/taxes/poilievre-review-capital-gains-tax-hike-elected
4,Bloomberg News,Canadian consumer confidence hits 2-year high as pessimism starts to thaw,https://financialpost.com/news/economy/canadian-consumer-confidence-hits-2-year-high,Pessimism about the Canadian economy is starting to thaw as a measure of consumer confidence hit its highest level since May 2022. Read on.,2024-06-10T12:23:45Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/news/economy/canadian-consumer-confidence-hits-2-year-high
5,The Associated Press,Judge dismisses Native American challenge to $10B SunZia energy transmission project in Arizona,https://financialpost.com/pmn/business-pmn/judge-dismisses-native-american-challenge-to-10b-sunzia-energy-transmission-project-in-arizona,A U.S. district judge has dismissed claims by Native American tribes and environmentalists who sought to halt construction along part of a $10 billion energy transmission line that will carry wind-generated electricity from New Mexico to customers as far away…,2024-06-07T00:19:04Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/judge-dismisses-native-american-challenge-to-10b-sunzia-energy-transmission-project-in-arizona
6,The Associated Press,"The Philippines goes all in for natural gas, a climate pollutant",https://financialpost.com/pmn/business-pmn/the-philippines-goes-all-in-for-natural-gas-a-climate-pollutant,"MANILA, Philippines (AP) — Sea turtles still scramble from the waters of Batangas Bay, paddling up the sand to bury their eggs. Coral reefs that some marine biologists call the Amazon of the ocean lie just offshore, home to giant clams, nurturing small fish, …",2024-06-07T00:06:48Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/the-philippines-goes-all-in-for-natural-gas-a-climate-pollutant
7,GlobeNewswire,Rogers Launches National Customer Contest for Stanley Cup Final,https://financialpost.com/globe-newswire/rogers-launches-national-customer-contest-for-stanley-cup-final,"Will send 10 Rogers customers, hockey fans and their guest to Game Four in Edmonton Will co-host game-day concerts with NHL for fans outside Rogers Place Will showcase real-time game updates on digital billboards throughout Edmonton TORONTO, June 08, 2024 (GL…",2024-06-08T13:04:19Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/globe-newswire/rogers-launches-national-customer-contest-for-stanley-cup-final
8,Bloomberg News,"Charting the Global Economy: ECB Cuts Rates, US Payrolls Surge",https://financialpost.com/pmn/business-pmn/charting-the-global-economy-ecb-cuts-rates-us-payrolls-surge,The European Central Bank delivered the interest-rate reduction it’s been flagging for months — moving away from a record high — but stopped short of indicating more cuts may follow.,2024-06-08T10:05:35Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/charting-the-global-economy-ecb-cuts-rates-us-payrolls-surge
9,Bloomberg News,El-Erian Says Strong Jobs Data Closes Door on July Fed Rate Cut,https://financialpost.com/pmn/business-pmn/el-erian-says-strong-jobs-data-closes-door-on-july-fed-rate-cut,"Stronger-than-expected US May jobs data closes the door on a July Federal Reserve rate cut, Mohamed El-Erian said.",2024-06-07T13:50:26Z,Error: 403 Client Error: Forbidden for url: https://financialpost.com/pmn/business-pmn/el-erian-says-strong-jobs-data-closes-door-on-july-fed-rate-cut
