,author,title,url,description,date,content
0,,Adam Silver says finalizing the new media rights deals is 'complex' process,https://www.foxsports.com/stories/nba/nba-commissioner-adam-silver-says-finalizing-the-new-media-rights-deals-is-complex-process,"Getting the NBA’s next round of media rights deals completed is an extremely complex proposition, Commissioner Adam Silver said Thursday.",2024-06-07T01:28:10Z,"Getting the NBA's next round of media rights deals completed is an extremely complex proposition, Commissioner Adam Silver said Thursday, especially because nobody can say with any certainty what the viewing landscape will look like in the future. Silver, speaking in his annual pre-NBA Finals news conference, did not offer any hints on when the next series of deals will be completed, other than saying ""in the relative near term."" The current deals with ABC-ESPN and Turner Sports expire after next season and the NBA has been talking with NBC, ESPN and Amazon, among other networks and platforms, about what comes next. ""It's complicated for several reasons,"" Silver said. ""One is the advent of new platforms, particularly streaming and the interest of streaming companies and in the traditional media companies also carrying our games on streaming platforms. It's complicated because with multiple partners, all seeking similar assets in many cases, you're just figuring out the right way to balance those games as they go to different partners."" The expectation, from networks and others involved in the process, is that the new agreements will be for 11 years and could exceed $70 billion in total value. Those would smash the existing norms for both value and deal length; the current one is nine years, $24 billion. ""We tend to do long-term deals,"" Silver said. ""We think that's good for the stability of the league. But it means to a certain extent you're trying to predict the future, which is of course impossible. Part of it is a bet on the partners that we'll ultimately align with and their ability also to adjust the times and their willingness to continue to invest in media and to become global, which is very important to the league as well."" What remains most unclear is how, or if, Turner will remain involved with the NBA when the new deals get struck. Warner Bros. Discovery CEO David Zaslav sounded an ominous note in late 2022, saying that Turner and WBD ""don't have to have the NBA"" once their current deal expires. If WBD is not part of the next deals, one of the most recognizable changes for fans could be the demise of the highly popular ""Inside the NBA"" program featuring former NBA stars Charles Barkley, Shaquille O'Neal and Kenny Smith. ""That show, in particular, is special."" Silver said. When the deals get done — whether it's in the coming days, weeks or even months — it would clear the way for the next major item on the NBA's to-do list, that being expansion. Silver has been very clear on the order of his top agenda items in recent seasons, those being preserving labor peace (which was achieved with the new Collective Bargaining Agreement) and getting a new media deal (talks ongoing). Then the league, at some point, will turn its attention toward adding new franchises. ""By turning to expansion, it doesn't mean that we're going to announce that now we're ready to add teams,"" Silver said. ""It means that there will be a committee of NBA governors that will focus on it. ... I actually am looking forward to that. I think the league, it's not preordained that we will expand this time, but I know there's an enormous amount of interest out there."" In other topics covered by Silver: Silver didn't opine on the hard foul that Indiana Fever rookie Caitlin Clark took from Chicago Sky guard Chennedy Carter last weekend, a play that has been scrutinized in countless ways from countless parties. ""As a fan, obviously, it's nothing new in basketball that there's sort of welcome-to-the-league moments, especially for heralded rookies,"" Silver said. ""But of course, I want to see Caitlin treated fairly and appropriately in the league. I would say, seems like she can take care of herself. She's a tough player."" Silver calls Clark ""an incredible talent"" and says all the attention she helps bring is good for the game — while noting that the growth of the fan base for the women's game didn't start just now, either. He also said it can't be ignored that there are ""larger societal issues at work ... some having to do with race"" when discussing the attention Clark generates and how that is received. ""Sports, historically, has been a platform for people to talk directly about these issues,"" Silver said. ""I don't think we should hide from them, and I think the players are happy to engage about these issues."" Silver said he believed the $750,000 fine the NBA issued to the Dallas Mavericks was appropriate last season, after a brief investigation showed the team engaged in ""conduct detrimental to the league"" by sitting out most of its key players against the Chicago Bulls on April 7, 2023. The Mavs still had a chance to reach the playoffs, but the NBA said it believed the team made its roster decisions that night ""in order to improve the chances of keeping its first-round pick in the 2023 NBA Draft."" That pick became Dereck Lively II, who has played a significant role for the Mavericks in their run to the NBA Finals. ""In terms of what Dallas did last year, we sanctioned them. We did what we thought was appropriate at the time,"" Silver said. ""I would only say that the success they saw this season, that they're now seeing in the playoffs and here they are at the finals, I don't attribute it to one draft pick — as important as that draft pick has been to their team."" Reporting by the Associated Press.  [Want great stories delivered right to your inbox? Create or log in to your FOX Sports account, follow leagues, teams and players to receive a personalized newsletter daily.]"
1,,Jalen Hurts on Kellen Moore's Eagles offense: '95 percent of it is new',https://www.foxsports.com/stories/nfl/jalen-hurts-kellen-moores-eagles-offense-95-percent-new,"New Eagles offensive coordinator Kellen Moore is bringing an almost entirely different system to Philadelphia, according to quarterback Jalen Hurts.",2024-06-07T00:39:21Z,"The Philadelphia Eagles replaced their coordinators on both sides of the ball after a stunning late-season collapse from the 2022 NFC Champions, including hiring Kellen Moore to run their offense. Moore spent four years as the offensive coordinator for the archrival Dallas Cowboys before one ill-fated season with the Los Angeles Chargers in 2023. While Moore has shown the ability to adapt to offensive-minded head coaches like Jason Garrett and Mike McCarthy during his career as an NFL playcaller, it appears he is bringing a completely new style to Nick Sirianni's Eagles, according to quarterback Jalen Hurts. ""Right now it's been a lot of new inventory,"" Hurts said, via ESPN. ""The majority of it, probably 95% of it being new — and so it's just been that process, and it's been a fun process because you get to see what works for other people. ""I think the goal coming in was to learn Kellen's offense and to master it, and I think that's been a process, and by the end of it, I want it to be mine and have it in my own way."" Sirianni, like Moore's former Cowboys bosses, has roots on the offensive side of the ball, as the Eagles hired him in 2021 after he had been the Indianapolis Colts' offensive coordinator. Sirianni has since called plays at times during his time in Philadelphia, but the playcalling ability of well-regarded offensive coordinator Shane Steichen — who left, ironically, to replace Sirianni's former boss Frank Reich as the Colts' head coach last year — was seen as a major catalyst in the team's 2022 run to the Super Bowl where they lost to the Kansas City Chiefs. Hurts' quarterbacks coach Brian Johnson was promoted to offensive coordinator in 2023 after Steichen's departure, but his playcalling came under criticism as the Eagles slumped to a 1-5 regular-season finish and wild-card-round loss to the Tampa Bay Buccaneers in the playoffs after starting the season 10-1. Johnson was later fired along with defensive coordinator Sean Desai, who was replaced by veteran defensive guru Vic Fangio. The Eagles return a loaded offense around Hurts, though they will have to replace perennial Pro Bowl center Jason Kelce on the offensive line following Kelce's retirement earlier this offseason. Still, Philadelphia features star receivers A.J. Brown and DeVonta Smith and tight end Dallas Goedert as Hurts' primary pass-catching targets, and signed star running back Saquon Barkley away from the division-rival New York Giants when 2024 NFL free agency opened in March.  They will open the 2024 season against the Green Bay Packers in Brazil, marking the first NFL game in South America. [Want great stories delivered right to your inbox? Create or log in to your FOX Sports account, follow leagues, teams and players to receive a personalized newsletter daily.]"
2,,Uruguay calls up Luis Suarez to play in his fifth Copa América,https://www.foxsports.com/stories/soccer/uruguay-calls-up-luis-suarez-play-his-fifth-copa-america,"Luis Suárez, Uruguay’s all-time leading scorer, will play in his fifth Copa América",2024-06-08T23:21:52Z,"Luis Suárez, Uruguay's all-time leading scorer, will play in his fifth Copa América. The 37-year-old Suarez, who plays for Inter Miami, was in the 26-man squad named by national coach Marcelo Bielsa on Saturday. Suárez said on social media he was ""very happy and proud"" to be picked. Uruguay faces the host United States, Bolivia and Panama in Group C. ""Let's go Uruguay, let's go,"" Suarez wrote. He won the Copa America in 2011 and was the player of the tournament. He was picked for 2016 but injury kept him on the bench, and played in 2019 and 2021 when they reached the quarterfinals. He did not play in 2015 because he was suspended for biting Giorgio Chiellini in the 2014 World Cup in Brazil. Uruguay beating Mexico 4-0 with a hat trick from Darwin Núñez, in a friendly on Wednesday in Denver. Núñez, from Liverpool, will play in his first Copa América. Among those to miss out were Liverpool striker Luciano Rodríguez and Orlando City midfielder Facundo Torres. [Check out our 2024 Copa América preview] Uruguay's Copa opener is against Panama on June 21 in Miami. FULL ROSTER Goalkeepers: Sergio Rochet (International), Santiago Melé (Junior), Franco Israel (Sporting Lisbon). Defenders: Ronald Araujo (Barcelona), José María Giménez (Atlético Madrid), Sebastián Cáceres (América), Nicolás Marichal (Dynamo), Mathías Olivera (Napoli), Lucas Olaza (Krasnodar), Matías Viña (Flamengo), Guillermo Varela (Flamengo), Nahitán Nández (Cagliari). Midfielders: Manuel Ugarte (Paris Saint-Germain), Rodrigo Bentancur (Tottenham), Federico Valverde (Real Madrid), Emiliano Martínez (Midtjylland), Nicolás de la Cruz (Flamengo), Giorgian de Arrascaeta (Flamengo), Agustín Canobbio (Paranaense). Forwards: Brian Rodríguez (América), Brian Ocampo (Cádiz), Facundo Pellistri (Granada), Maximiliano Araujo (Toluca), Cristián Olivera (Dallas), Darwin Núñez (Liverpool) Luis Suárez (Inter Miami). Reporting by The Associated Press."
3,,Dornoch pulls of upset to win first Belmont Stakes run at Saratoga Race Course with 17-1 odds,https://www.foxsports.com/stories/other/dornoch-pulls-upset-win-first-belmont-stakes-run-saratoga-race-course-17-1-odds,"Dornoch won the 156th running of the Belmont Stakes on Saturday; Mindframe finished second, with Sierra Leone coming in third.",2024-06-08T23:11:36Z,"Dornoch pulled off a major upset to take the first Belmont Stakes at Saratoga, hugging the rail and holding off Mindframe to win the Triple Crown finale. From a betting perspective, Dornoch went off at 17-1 odds. The horse co-owned by World Series champion Jayson Werth won the Belmont five weeks after a troubled trip led to a 10th-place finish in the Kentucky Derby. This time, Dornoch sat off leader Seize the Grey, passed the Preakness winner down the stretch and held on. It's the first win in any Triple Crown for trainer Danny Gargan and the second in the Belmont for jockey Luis Saez. ""He's one of the top 3-year-olds in the country, and we've always thought it,"" Gargan said. 'We let him run his race and he won. If he gets to run, he's always going to be tough to beat. It's the sixth consecutive year a different horse won each of the three Triple Crown races. Sierra Leone, the Derby runner-up who went off as the favorite, was third and Honor Marie fourth. ""When I rode this horse here in Saratoga for the first time (July 29), I told Danny, ‘You have the Derby winner,'"" Saez said. ""Unfortunately, the Derby's a crazy race and we draw that No. 1 hole. Today, we have pretty good confidence that we could win this race."" Despite there not being a Triple Crown on the line, it's a historic Belmont because the race was run at Saratoga for the first time in the venue's 161-year history. It returns next year while Belmont Park undergoes a massive, $455 reconstruction with the plan for the Triple Crown to return to the New York track in 2026. Having it at Saratoga necessitated shortening the race to 1 1/4 miles from the usual ""test of the champion 1 1/2-mile distance that has been a hallmark of the Belmont for nearly a century. The temporary change contributed to getting more quality horses into the field who previously ran in the Kentucky Derby, Preakness or both. Reporting by The Associated Press. Want great stories delivered right to your inbox? Create or log in to your FOX Sports account, and follow leagues, teams and players to receive a personalized newsletter daily!"
4,,Portugal falls to Croatia 2-1 with Cristiano Ronaldo sidelined; Spain routs Northern Ireland 5-0,https://www.foxsports.com/stories/soccer/modrics-croatia-beats-portugal-21-in-euro-warmup-while-ronaldo-rests-spain-routs-n-ireland,Luka Modric scored a penalty to help Croatia beat Portugal 2-1 while Spain thumped Northern Ireland in the run-up to the European Championship.,2024-06-08T22:03:31Z,"Luka Modric scored a penalty to help Croatia beat Portugal 2-1 while Spain thumped Northern Ireland in the run-up to the European Championship on Saturday. The friendly matches were the last for Spain and Croatia before they open the tournament against one another on June 15 in Berlin. They are in a tough Group B along with Italy and Albania. Spain fine-tuned its attack with a 5-1 rout of Northern Ireland. Pedri González led the way with his first two goals for his nation. Portugal has one more friendly — against Ireland on Tuesday — before it starts the competition against the Czech Republic on June 18 in Leipzig. Portugal is the favorite in Group F that also includes Turkey and Georgia. Cristiano Ronaldo never left Portugal's bench, with coach Roberto Martínez tapping Gonçalo Ramos to spear his attack. Ronaldo joined Portugal on Friday after finishing his club campaign with Al-Nassr in Saudi Arabia. The 39-year-old is set to make a record sixth appearance at the European Championship. Men's soccer all-time leading scorer with 128 goals, Ronaldo helped Portugal win the European title in 2016. Modric beat goalkeeper Diogo Costa to open the scoring in the eighth minute at Portugal's National Stadium near Lisbon. The 38-year-old Real Madrid midfielder was sent to the penalty spot after Vitinha fouled Mateo Kovacic in the area. Halftime substitutes Diogo Jota and Nelson Semedo linked up to equalize for the hosts in the 48th, with Semedo assisting the Liverpool forward to tap in. Ante Budimir restored Croatia's advantage in the 56th after the Osasuna striker headed in a rebound of a strike by Mario Pašalić that Costa had done well to push onto the crossbar. Costa twice denied Nikola Vlašić to save Portugal from a heavier defeat. Modric was substituted in the 54th. His contract with Madrid is set to expire at the end of the month following a season when he lost his starting role in Carlo Ancelotti's side. But the former Ballon d'Or winner seemed to indicate he wants to continue playing for the Spanish club when he told its fans in the celebrations of Champions League title No. 15 that he would see them ""next season."" Euro 2024 kicks off on Friday when host Germany plays Scotland. SPAIN WINS Northern Ireland's Daniel Ballard stunned Spain with a second-minute header. But Luis de la Fuente's team powered past their overmatched opponent in Mallorca. Pedri scored twice in the first half for his first goals in his 20th appearance for Spain. The Barcelona midfielder, now 21, helped Spain reach the semifinals of Euro 2021 but had not played since the 2022 World Cup due to injury. He made his return in Spain's 5-0 win over Andorra on Wednesday. Álvaro Morata, Fabián Ruiz, and Mikel Oyarzabal, who put in three against Andorra, also chipped in with goals. OTHER FRIENDLIES Romelu Lukaku scored twice and Arsenal's Leandro Trossard added a third goal as Belgium brushed aside Luxembourg 3-0. Belgium is expected to advance from a Group E that includes Ukraine, Slovakia and Romania. Serbia rolled to a 3-0 win in Sweden thanks to goals by Sergej Milinković-Savić, Aleksandar Mitrović and Dušan Tadić. England and Serbia open play on June 16 in Group C that also includes Denmark and Slovenia. Denmark bettered Norway 3-1, with Erling Haaland getting the loser's only goal. Pierre-Emile Hojbjerg, Jannik Vestergaard, and Yussuf Poulsen found the net for the Danes. Slovenia needed goalie Jan Oblak to make a stoppage-time save to ensure a 1-1 draw with Bulgaria. Switzerland and Austria drew 1-1 after Silvan Widmer leveled for the Swiss following an early goal by Christoph Baumgartner. Austria and France will face off in their opener on June 17. They are in Group D with the Netherlands and Poland. Switzerland has been drawn in Group A with Germany, Scotland and Hungary, which got a brace from Barnabás Varga to defeat Israel 3-0. Reporting by The Associated Press."
5,Doug McIntyre,Colombia 5-1 USMNT: U.S. embarrassed in first Copa América tuneup,https://www.foxsports.com/stories/soccer/colombia-5-1-usmnt-u-s-embarrassed-first-copa-america-tuneup,The U.S. men's national team suffered an embarrassing 5-1 loss to Colombia on Saturday in its first friendly match before the 2024 Copa América.,2024-06-09T00:34:03Z,"It's admirable that the U.S. men's national team wanted to schedule a pair of world soccer heavyweights to prepare for this summer's Copa América on home soil. The risk, of course, was getting embarrassed in the process. That's exactly how Saturday's 5-1 loss to Colombia in the Americans' first pre-Copa tuneup match played out.  In front of a large, mostly pro-Cafeteros crowd in Landover, Maryland, the visitors took an early lead and never really looked back. Jhon Arias scored by taking advantage of a defensive miscue by the U.S. before six minutes had elapsed, and Rafael Santos Borré doubled his country's advantage before the first half had even reached the midway point. [Check out our 2024 Copa América preview] Colombia scored three more times in the final quarter-hour to complete the rout after Tim Weah had provided the only bright spot all evening for the U.S. Weah briefly cut the deficit to 2-1 with a well-taken goal early in the second half. ""I think everybody needs to look in the mirror after that game,"" U.S. keeper Matt Turner told broadcaster TNT afterward. ""It's really, really disappointing in front of such a great crowd, so I want to apologize to the fans as well. Because that's not what we're about. And yeah, we need to bounce back in a big way."" The U.S. won't have much time to dwell on the lopsided defeat with an even more daunting opponent, five-time World Cup champion Brazil, looming in its next preparation game on Wednesday in Orlando, Florida. Santos Borré's strike was a worthy game-winner. A defection following a Colombian corner kick saw the ball ping pong around the penalty area before eventually falling to the forward unmarked with his back to Turner's goal. Santos Borré' leaped into the air and executed a close-range bicycle kick that left Turner little time to react: Arias's opener set the tone early when he pounced on an attempted Antonee Robinson clearance, danced past Robinson's Fulham teammate Tim Ream and beat Turner at his near post. It was the worst possible start for the U.S. Even at that stage, there was a feeling that this might not be the Americans' day: Key stat With a 53-47 possession advantage, the U.S. had the majority of the ball after falling behind. They weren't efficient with it, though, as the visitors outshot them 15-10, including a 6-2 advantage in on-target attempts. Oh, nothing special — just the most celebrated international team of all time. With a 1W-18L-0 record versus Brazil, it's a matchup nightmare for the U.S. The Americans have lost 11 straight meeting since their lone victory over the Seleção all the way back in 1998. Still, the U.S. can't be much worse on Wednesday, right? Result aside, Gregg Berhalter's team was more rusty and/or sloppy for most of the way on Saturday as opposed to downright terrible. All five goals against came as a result of mistakes that, in theory at least, are preventable. It was a humiliating and embarrassing loss nonetheless, to be sure. Saturday's harsh lesson could still serve the Copa hosts well when the tournament arrives, especially if they get another crack at Colombia in the knockout stage. If you're going to lose 5-1, it better be in game that doesn't count. ""Obviously, it's a learning experience for all of the boys and myself tonight.,"" Weah said. ""But I'm ready to go again. I'm ready to face another good opponent. I'm ready to bounce back."" One more dress rehearsal, next weekend against Bolivia in West Hartford, Connecticut, where Los Cafeteros will attempt to extend their unbeaten streak to 23 games. The Colombians kick off their Copa América slate with Paraguay on June 24 in Houston. Doug McIntyre is a soccer writer for FOX Sports. Before joining FOX Sports in 2021, he was a staff writer with ESPN and Yahoo Sports and he has covered the United States men's and women's national teams at multiple FIFA World Cups. Follow him at @ByDougMcIntyre."
6,,MLB players on London Series: 'Make it more of an event',https://www.foxsports.com/stories/mlb/mlb-players-london-series-make-it-more-of-an-event,"Francisco Lindor, Bryce Harper others share thoughts on two-game series in London. The main takeaway? Add more teams, make it bigger.",2024-06-10T00:52:36Z,"Now that Major League Baseball has been to London three times, players have a few suggestions for future visits. The New York Mets beat the Philadelphia Phillies 6-5 on Sunday to split their two-game weekend series at London Stadium. Both teams arrived Thursday morning and had two off days to get acclimated. They went sightseeing before getting back in game mode. ""I feel like we had too much time off,"" Mets shortstop Francisco Lindor said before Sunday's game. ""I get it, there's a process of you've got to sell the games and stuff like that. But to me ... playing the next day (Friday) would have been a little bit more beneficial."" Lindor still called the whole experience ""fantastic"" and important in spreading the game. A soccer-style knee slide by Phillies slugger Bryce Harper garnered some media coverage in Britain. Mets infielder Jeff McNeil likes an idea floated by Harper — to have more teams come and hold a cup-style tournament. ""It would be cool if you had four teams here — you could get five, six games,"" he said after New York's win. ""It is tough coming over here for two games and then flying back to the States. If you could get more teams over here, make it more of an event, it would be a lot of fun."" This was MLB's third trip to London in the past five years. There's another series planned for 2026. A proposed series in Paris for next summer was shelved. ""I'd do it every year if we could,"" said Phillies manager Rob Thomson, who visited a Philly-themed bar. ""It's been a great experience. Tough loss today, but it was a great ballgame for fans to watch."" HIGH FLYERS The Phillies will have crossed 18 different time zones in 17 days when they land in Boston. The team left May 23 for a road trip that included stops in Denver and San Francisco before the London trip. ""So now going back what we're trying to do is if you want to sleep, sleep early in the flight, maybe for an hour or hour and a half, then get up and stay awake until we get there,"" Thomson said. NEW CRICKET FAN MLB is here to expand its fan base, but another ball-and-bat game has picked up some fans, too. ""I watched a lot of cricket while I was here. It was on TV the whole time,"" McNeil said. ""My wife got into it, I got into it. I think I'd be a heck of a cricket player. Being able to put it in play and hit it anywhere, I think that would be a lot of fun."" The TV coverage was of the cricket T20 World Cup being co-costed by the United States and West Indies. India was playing Pakistan in Westbury, New York, on Sunday. The United States scored a major upset over Pakistan on Thursday. ""I was going to try to see a match,"" McNeil said. ""I have no idea about the rules. I'd love to learn more, but it was pretty exciting to watch. I would love to try it. Hitting looks fun. You can hit it far and anywhere you want."" Reporting by the Associated Press. [Want great stories delivered right to your inbox? Create or log in to your FOX Sports account, follow leagues, teams and players to receive a personalized newsletter daily.]"
7,Bob Pockrass,NASCAR takeaways: Kyle Larson caps week of uncertainty with Sonoma win,https://www.foxsports.com/stories/nascar/kyle-larson-caps-week-uncertainty-sonoma-win,Kyle Larson's title hopes got a rebirth when NASCAR granted him a waiver to stay playoff eligible. He followed it up by winning at Sonoma.,2024-06-10T01:12:50Z,"SONOMA, Calif. — Kyle Larson went from not being in the NASCAR playoffs to now being in position to be the favorite and points leader when they begin in 11 weeks. Larson's championship hopes got a rebirth Tuesday when NASCAR granted a waiver for him to remain playoff eligible despite not starting every race after he missed the Charlotte race on Memorial Day weekend when he was competing in the rain-delayed Indianapolis 500. Five days after receiving the waiver news, he won the NASCAR Cup Series race Sunday at Sonoma Raceway and retook the series points lead in the process. ""My mind never wavered,"" Larson said knowing he was using a pun. ""It was always kind of focused on executing and winning the regular season points, whether that be on the owner's side or whatever. My mindset has not changed at all. ""I race to win every single race, so yeah, I haven't really thought any differently since missing Charlotte."" The Hendrick driver earned his third win of the season and now has more playoff points — points that can help a driver advance in the playoffs if they don't win in a round — than any other Cup driver. The regular-season champion gets more playoff points (15) than any other driver, another reason it was important for Larson to take a 14-point lead in the regular-season standings. ""I thought [after Charlotte] we would still have a great shot to win the regular season title, which there's still a lot of racing left to be had,"" Larson said. ""I could easily have a couple [races I don't finish] here coming up."" Hendrick vice chairman Jeff Gordon said he didn't see much of a difference in the team's attitude from before to after the waiver decision. ""[The team] seemed to be business as usual and prepping for the next race, the next two races, the way they normally do,"" Gordon said about the St. Louis event that followed Charlotte before NASCAR determined a decision on the waiver and then the Sonoma prep. ""The best medicine in any of those situations is getting back to the racetrack. Especially when they got here, home track for Kyle [from nearby Elk Grove], and I think a track that they enjoy racing at, and a lot of the competitors do."" Takeaways on a caution-filled, strategy-laden ay at Sonoma where Michael McDowell finished second, Chris Buescher third, Chase Elliott fourth and Ross Chastain fifth. Truex, Busch Run Out Of Fuel Larson was on a different strategy where he pitted after the second stage and then just had to make a quick pit stop for fuel under green in the final stage. Buescher, McDowell, Martin Truex Jr. and Kyle Busch used a strategy where they stayed out at the end of the second stage for track position but had to have a longer pit stop for fuel under green in the final stage. That led to Larson having to run down those drivers for the win, passing Truex on Lap 102 of the 110-lap race. It also led to Truex to run out of gas when running second and Busch to run out of gas as he was turned by Chastain on the final lap. Busch finished 12th because he was able to nurse his car to the finish line, while Truex was 27th. More Frustrated Drivers Several drivers saw their races end early after accidents or mechanical issues. Ty Gibbs was the one driver who had an incident with the new Turn 11 inside wall put in for this race. ""I was finding grip down there and was making up time, and then got too close and clipped the wall and hurt the right front,"" Gibbs said. ""I just made a mistake and took us out."" Austin Dillon was a victim of a wreck where Erik Jones got into Josh Berry and pushed Berry into traffic in Turn 11. ""The 4 [of Berry] and the 43 [of Jones], I don't know what that is — [Berry] struggled all weekend,"" Dillon said. ""We broke the suspension in the right rear when we took the hit."" Larson Best On Attack Larson's ability to race without worrying about fuel mileage gave him the ability to be aggressive, which is where he is at his best. He was thoroughly confused over the strategy and didn't realize he would have to pass several drivers after his final pit stop. ""I thought, ‘Oh, my God, I'm like 10th,'"" Larson said about coming out of the points and then trying to run people down. ""I thought I was going to be faster for eight, 10 laps, but I didn't know once the tires came up to temp if they would equal out at some point because there were still 20-something laps left. ""It did, it definitely got closer to equaling out, but I still just had enough."" Bob Pockrass covers NASCAR for FOX Sports. He has spent decades covering motorsports, including over 30 Daytona 500s, with stints at ESPN, Sporting News, NASCAR Scene magazine and The (Daytona Beach) News-Journal. Follow him on Twitter @bobpockrass."
8,,Yankees' Juan Soto out of starting lineup for third straight game vs. Dodgers,https://www.foxsports.com/stories/mlb/yankees-juan-soto-out-starting-lineup-third-straight-game-vs-dodgers,Juan Soto was out of the starting lineup for the third straight game when the Yankees' played its series finale vs. the Dodgers.,2024-06-09T20:31:38Z,"Yankees star Juan Soto is out of the starting lineup for the third straight game, as New York plays its series finale against the Los Angeles Dodgers on Sunday night. Soto is being treated for left forearm inflammation. He missed the opening two games of the weekend, both won by the Dodgers, 2-1 in 11 innings on Friday and 11-3 on Saturday. New York had scored only four runs in 23 innings at the plate since Soto left Thursday night's 8-5 win over Minnesota. Three have come on two solo homers Saturday by Aaron Judge and his RBI single in the 11th inning of the opener. In losing the first two games to the Dodgers, the Yankees hit .200 (15 for 75), including .067 (1 for 15) with runners in scoring position. Soto is hitting .318 with 17 home runs, 53 RBIs and a 1.027 OPS. The 25-year-old outfielder, acquired in December from San Diego, can become a free agent after the World Series. A scan Friday did not reveal any problems with his elbow, the Yankees said. Reporting by the Associated Press. [Want great stories delivered right to your inbox? Create or log in to your FOX Sports account, follow leagues, teams and players to receive a personalized newsletter daily.]"
9,,Kylian Mbappé plays 20 minutes in France's final Euros warmup,https://www.foxsports.com/stories/other/kylian-mbappe-plays-20-minutes-france-final-euros-warmup,"Kylian Mbappé got some rest ahead of the European Championship, playing only about 20 minutes as France drew 0-0 with Canada on Sunday.",2024-06-09T23:16:29Z,"Kylian Mbappé got some rest ahead of the European Championship, playing only about 20 minutes as France drew 0-0 with Canada on Sunday in its final warmup. The match in Bordeaux marked Olivier Giroud's last home game for France. The striker, who is moving to Los Angeles FC in Major League Soccer, is retiring from the French national team after Euro 2024, which starts Friday in Germany. Mbappé entered in the 74th minute and failed to spark France to victory. He had played the entire friendly against Luxembourg on Wednesday, when he scored in France's 3-0 win in what was his first match since his move from Paris Saint-Germain to Real Madrid was finally confirmed. France's opening game at Euro 2024 is on June 17 against Austria. Mbappé reportedly was not fully fit after the game against Luxembourg and had missed some training sessions during the week but is expected to play a key role for France in Germany. France, runner-up to Argentina in the 2022 World Cup, is in Group D along with Poland and the Netherlands. Defending European champion Italy beat Bosnia-Herzegovina 1-0 at home. Davide Frattesi scored the only goal with a neat volley from inside the area in the 38th minute in Empoli. Italy won Euro 2020 but missed out on qualifying for the last two World Cups. It begins its Euro 2024 campaign on Saturday against Albania. The other teams in Group B are Spain and Croatia. Spain routed Northern Ireland 5-1 on Saturday, while Croatia defeated Portugal 2-1. Also Sunday, Slovakia routed Wales 4-0 with goals from Juraj Kucka, Robert Bozenik and Laszlo Benes, as well as an own-goal by Ethan Ampadu, intensifying the pressure on Wales manager Rob Page. Slovakia will start its Euro 2024 campaign on June 17 against Belgium. Group E's other teams are Romania and Ukraine. Reporting by the Associated Press. [Want great stories delivered right to your inbox? Create or log in to your FOX Sports account, follow leagues, teams and players to receive a personalized newsletter daily.]"
