,author,title,url,description,date,content
0,Thomas Macaulay,TNW Conference 2024: Welcome to the electric future of race cars — and road vehicles,https://thenextweb.com/news/tnw-conference-2024-antonio-felix-da-costa-formula-e-ev-driver,"As we count down to TNW conference in Amsterdam on June 20 and 21, we’re previewing the sessions that we’re most excited about. One of my must-see talks mixes two of my great passions: sports and technology. Bringing them together is António Félix da Costa, a…",2024-06-10T11:28:45Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/tnw-conference-2024-antonio-felix-da-costa-formula-e-ev-driver
1,Siôn Geschwindt,Amsterdam suspends shared cargo ebike service Cargoroo over ‘failed questionnaire’,https://thenextweb.com/news/amsterdam-suspends-cargo-ebike-service-cargoroo,"Amsterdam has refused to grant Cargoroo a new license to operate its shared cargo ebike rental service in the Dutch capital. Instead, it has handed over exclusive operating rights to BAQME, an upstart rival from Rotterdam.  The City first announced the decisi…",2024-06-12T08:58:08Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/amsterdam-suspends-cargo-ebike-service-cargoroo
2,Thomas Macaulay,European AI leaders Aleph Alpha and Silo ink deal to deliver ‘sovereign AI’,https://thenextweb.com/news/aleph-alpha-silo-ai-sovereign-ai-partnership,Two of Europe’s emerging leaders in artificial intelligence have signed a deal to spread “sovereign AI” across the continent. Germany’s Aleph Alpha and Finland’s Silo AI announced the partnership today. The duo plan to create a “one-stop-solution” for Europea…,2024-06-13T10:03:45Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/aleph-alpha-silo-ai-sovereign-ai-partnership
3,Thomas Macaulay,Hackers linked to Hamas tied to cyberespionage via Android spyware in Palestine,https://thenextweb.com/news/hamas-hackers-behind-cyberespionage-campaigns-in-palestine,"Hackers linked to Hamas have been implicated in five cyberespionage campaigns targeting Palestine and Egypt. The evidence emerged in new research from ESET, a cybersecurity company based in Slovakia. Analysts at the firm detected five campaigns spreading troj…",2024-06-13T15:14:28Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/hamas-hackers-behind-cyberespionage-campaigns-in-palestine
4,Ioanna Lykiardopoulou,This week in Dutch tech,https://thenextweb.com/news/this-week-dutch-tech-4,"Friday is finally here and so is this week’s roundup of tech news from the Netherlands! From riveting developments in the chip sector to partnerships against financial fraud and concerns over smart camera technology, the first week of June has been action-pac…",2024-06-07T09:54:16Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/this-week-dutch-tech-4
5,Ioanna Lykiardopoulou,This week in Dutch tech: TNW Conference edition,https://thenextweb.com/news/this-week-dutch-tech-tnw-conference-edition,"Friday is finally here and so is this week’s round-up of tech news from the Netherlands! With less than seven days to go for TNW Conference in Amsterdam on June 20 and 21, this roundup comes with a twist: our editorial team’s picks of the event’s unmissable s…",2024-06-14T11:41:02Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/this-week-dutch-tech-tnw-conference-edition
6,Siôn Geschwindt,"Why Germany, Hungary oppose the EU’s new tariffs on Chinese EVs",https://thenextweb.com/news/germany-hungary-oppose-the-eu-tariffs-on-chinese-evs,"The European Union has hiked tariffs for EVs imported from China, drawing reproach from Beijing and some of its own member states, including Germany, Sweden, and Hungary. The tough new tariffs range between 17.4% and 38.1%, on top of the existing import duty …",2024-06-13T13:33:46Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/germany-hungary-oppose-the-eu-tariffs-on-chinese-evs
7,Ioanna Lykiardopoulou,Report: The Netherlands is the leading startup ecosystem in the EU,https://thenextweb.com/news/netherlands-leading-startup-ecosystem-eu,"The Netherlands is the number one startup ecosystem in the EU, surpassing both Paris and Berlin. That’s according to the 2024 Global Startup Ecosystem Report (GSER) by Startup Genome, which ranked the Netherlands at 14 globally. According to the report, the c…",2024-06-10T15:50:08Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/netherlands-leading-startup-ecosystem-eu
8,Siôn Geschwindt,EU launches AI-powered ‘digital twin’ of the Earth,https://thenextweb.com/news/eu-launches-ai-powered-digital-twin-of-the-earth,"The European Commission today launched the first version of Destination Earth (DestinE), an AI-powered simulator that looks to improve the accuracy of climate predictions.  The first version of DestinE includes two models: one for extreme weather events and a…",2024-06-10T13:25:36Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/eu-launches-ai-powered-digital-twin-of-the-earth
9,Ioanna Lykiardopoulou,Black Semiconductor raises €254.4M for graphene-based chips in boost for European sector,https://thenextweb.com/news/black-semiconductor-raises-e254-4m-graphene-based-chips-boost-european-sector,"Amid a global race for semiconductor leadership, an Aachen-based startup has raised €254.4mn for its chip technology in a big boost for the German as well as the European semiconductor sector. Brothers Daniel and Sebastian Schall launched Black Semiconductor …",2024-06-12T12:08:53Z,Error: 403 Client Error: Forbidden for url: https://thenextweb.com/news/black-semiconductor-raises-e254-4m-graphene-based-chips-boost-european-sector
